WARNING 2019-06-13 14:58:21,156 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:21,166 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:58:21,169 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:58:21,197 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:58:21,202 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:58:21,210 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:58:21,220 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:21,221 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:58:21,232 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:58:21,335 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:58:21,342 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
INFO 2019-06-13 14:58:22,277 basehttp 154 "GET / HTTP/1.1" 200 13588
WARNING 2019-06-13 14:58:22,296 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:22,307 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:58:22,316 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:58:22,322 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:58:22,344 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:58:22,347 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:58:22,351 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:58:22,359 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:58:22,375 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:58:22,378 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:58:22,384 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
